Designator,Mid X,Mid Y,Rotation,Layer
C1,139.75,-75.5,180.0,bottom
C10,137.5,-64.0,180.0,bottom
C11,144.25,-64.5,90.0,bottom
C12,150.98,-67.75,180.0,bottom
C13,151.25,-74.25,180.0,bottom
C14,151.25,-73.25,180.0,bottom
C15,142.75,-64.5,90.0,bottom
C16,143.5,-76.25,270.0,bottom
C17,148.25,-76.25,270.0,bottom
C18,153.77,-72.75,180.0,bottom
C19,153.77,-67.0,0.0,bottom
C2,136.25,-72.75,90.0,bottom
C3,137.75,-72.23,270.0,bottom
C4,137.25,-76.5,270.0,bottom
C5,142.0,-76.5,270.0,bottom
C6,145.75,-64.5,90.0,bottom
C7,150.5,-71.25,270.0,bottom
C8,144.75,-76.25,270.0,bottom
C9,137.5,-65.0,180.0,bottom
D1,151.51,-69.5,180.0,top
D2,150.0,-63.55,180.0,bottom
L1,139.25,-72.9375,90.0,bottom
R1,137.25,-74.25,180.0,bottom
R2,148.25,-69.5,0.0,top
R3,136.5,-69.75,0.0,bottom
R4,136.5,-70.75,0.0,bottom
R5,151.5,-71.5,90.0,bottom
R6,145.5,-62.5,180.0,top
R7,146.0,-73.0,0.0,top
SW1,150.0,-65.8,180.0,top
SW2,150.0,-73.2,0.0,top
U1,145.3125,-70.1,270.0,bottom
U2,139.5,-75.5,0.0,top
U3,139.25,-65.5,180.0,top
Y1,153.75,-69.85,270.0,bottom
