Id,Designator,Designation,MPN,Footprint,DNO - Do not order,MOQ,Price,Quantity,Amount,Supplier link
1,"C1, C2, C3",4.7u,GRM155R61C475KE15D,402,No,Yes,0.057,10,0.57,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Murata-Electronics-GRM155R61C475KE15D_C426094.html
2,"C10, C11, C12, C13, C14, C15, C16, C17, C6, C7, C8, C9",100n,GRM155R61H104JE14D,402,Yes,-,0,36,0,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Murata-Electronics-GRM155R61H104JE14D_C426067.html
3,"C18, C19",15p,GJM1555C1H150FB01D,402,Yes,-,0,6,0,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Murata-Electronics-GJM1555C1H150FB01D_C441742.html
4,"C4, C5",10u,CL21A106KBVNNNE,805,No,Yes,0.046,5,0.23,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21A106KBYQNNE_C2932476.html
5,D1,LED,19-213-GHC-YR1S1N-3T,402,Yes,-,0,3,0,https://www.lcsc.com/product-detail/LED-Indication-Discrete_Everlight-Elec-16-213-GHC-YR1S1N-3T_C2980183.html?s_z=n_LED
6,D2,ESDS314DBVR,ESD5314DBVR,402,No,Yes,0.212,5,1.06,https://lcsc.com/product-detail/ESD-and-Surge-Protection-TVS-ESD_TI-ESDS314DBVR_C1847859.html
7,J1,USB_A,-,USBPCB,On PCB,-,-,-,-,-
8,L1,3.3u,A201610S3R3-101-T,806,No,Yes,0.2592,5,1.3,https://lcsc.com/product-detail/Power-Inductors_Abracon-LLC-AOTA-B201610S3R3-101-T_C42411119.html
9,R1,33,RT0402BRD0733RL,402,No,Yes,0.0198,50,0.99,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RT0402BRD0733RL_C852729.html
10,"R2, R5, R6, R7",1k,CRCW040210K0FKEDHP,402,No,Yes,0.023,20,0.46,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Vishay-Intertech-CRCW04021K00FKEDHP_C313354.html
11,"R3, R4",27,ERJ2GEJ270X,402,Yes,-,0,6,0,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_PANASONIC-ERJ2GEJ270X_C278580.html
12,"SW1, SW2",SW_Push,K-PTS810SJMS205MTLFSG,SW_SPST_PTS810,No,No,0.6,6,3.6,https://lcsc.com/product-detail/Tactile-Switches_C-K-PTS810SJM250SMTRLFS_C116501.html
13,U1,RP2350A-QFN60,RPi2350,QFN-60,No,No,1.514,3,4.542,https://www.silverlineelectronics.in/collections/the-raspberry-pi/products/rp2350a-raspberry-pi-microcontroller-chip-in-stock-silverline-india
14,U2,AMS1117S-3.3,AMS1117-3.3,SOT-89-3,No,Yes,0.1,5,0.5,https://lcsc.com/product-detail/Voltage-Regulators-Linear-Low-Drop-Out-LDO-Regulators_JSMSEMI-AMS1117S-3-3_C917152.html
15,U3,W25Q128JVS,W25Q128JVSIM,SOIC-8_5.3x5.3mm_P1.27mm,Yes,-,0,3,0,https://lcsc.com/product-detail/NOR-FLASH_Winbond-Elec-W25Q128JVSIM_C2613930.html
16,Y1,Crystal_GND24,ABM8-27-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,No,No,0.3737,3,1.1211,https://www.lcsc.com/product-detail/Crystals_Abracon-LLC-ABM8-272-T3_C20625731.html?s_z=n_abm8
,,Shipping,3.74,,,,,,,
,,Handling fee,3,,,,,,,
,,Total,21.1131,USD,,,,,,
